epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1247.62,0.47325,0.28415,0.00431,0.87767,0.99572,0.91184,0.78177,0.62422,0.40948,0.00848,0.000429253,0.000429253,0.000429253
77,1265.58,0.47014,0.27419,0.00414,0.87919,0.98968,0.91709,0.79079,0.59723,0.40163,0.00841,0.000412749,0.000412749,0.000412749
78,1283.14,0.46593,0.29018,0.00418,0.85994,0.97866,0.91188,0.79138,0.5916,0.44284,0.00976,0.000396246,0.000396246,0.000396246
79,1298.36,0.45651,0.27863,0.00418,0.87573,0.96037,0.8993,0.77866,0.56281,0.42065,0.00806,0.000379743,0.000379743,0.000379743
80,1310.91,0.47669,0.28917,0.00416,0.88046,0.96306,0.90037,0.73046,0.65917,0.43932,0.00872,0.000363239,0.000363239,0.000363239
81,1323.31,0.45762,0.27387,0.00408,0.87378,0.96254,0.93766,0.80634,0.5638,0.43251,0.00849,0.000346736,0.000346736,0.000346736
82,1334.81,0.45491,0.26536,0.00397,0.88106,0.96562,0.92207,0.76763,0.58454,0.42275,0.0086,0.000330233,0.000330233,0.000330233
83,1346.43,0.44641,0.266,0.00398,0.86817,0.98553,0.9382,0.80313,0.55761,0.38496,0.00778,0.000313729,0.000313729,0.000313729
84,1358.02,0.45878,0.27272,0.0042,0.8649,0.98148,0.90521,0.76545,0.62424,0.41667,0.00906,0.000297226,0.000297226,0.000297226
85,1369.77,0.46443,0.26984,0.00405,0.87407,0.97561,0.91418,0.7865,0.56071,0.40453,0.00853,0.000280723,0.000280723,0.000280723
86,1381.37,0.46491,0.26588,0.00398,0.86514,0.98095,0.90333,0.77179,0.60901,0.43888,0.00867,0.00026422,0.00026422,0.00026422
87,1393.54,0.44421,0.26705,0.00391,0.87506,0.98476,0.90204,0.76941,0.57295,0.42689,0.00852,0.000247716,0.000247716,0.000247716
88,1405.65,0.44979,0.25202,0.00403,0.86189,0.99681,0.9075,0.77119,0.62369,0.42045,0.00887,0.000231213,0.000231213,0.000231213
89,1417.57,0.43956,0.26575,0.00385,0.87219,0.98471,0.90658,0.78934,0.52642,0.40709,0.00809,0.00021471,0.00021471,0.00021471
90,1429.79,0.42496,0.2499,0.0038,0.86467,0.9878,0.90584,0.77371,0.59285,0.42003,0.00844,0.000198206,0.000198206,0.000198206
91,1468.52,0.44849,0.23705,0.0052,0.8796,0.9878,0.91205,0.79647,0.53455,0.3876,0.00802,0.000181703,0.000181703,0.000181703
92,1481.22,0.43783,0.22632,0.00516,0.88175,0.97866,0.90733,0.78877,0.54602,0.36656,0.00809,0.0001652,0.0001652,0.0001652
93,1497.45,0.42431,0.20819,0.00492,0.87251,0.9939,0.90608,0.77441,0.57841,0.38838,0.00816,0.000148696,0.000148696,0.000148696
94,1514.74,0.42211,0.21439,0.00507,0.88026,0.98171,0.90939,0.78934,0.54071,0.38587,0.00822,0.000132193,0.000132193,0.000132193
95,1531.96,0.41824,0.19349,0.0045,0.87302,0.9878,0.91035,0.78783,0.54889,0.39522,0.00763,0.00011569,0.00011569,0.00011569
96,1550.32,0.40784,0.20275,0.00434,0.87286,0.98175,0.91146,0.7866,0.56826,0.38488,0.00823,9.91865e-05,9.91865e-05,9.91865e-05
97,1568.6,0.40655,0.1988,0.00422,0.87072,0.98476,0.90971,0.78684,0.56247,0.38995,0.00817,8.26832e-05,8.26832e-05,8.26832e-05
98,1586.07,0.4051,0.192,0.00436,0.87708,0.97866,0.90944,0.79415,0.54964,0.396,0.00808,6.61799e-05,6.61799e-05,6.61799e-05
99,1603.58,0.39916,0.19171,0.00422,0.88107,0.98171,0.91043,0.79004,0.54654,0.39671,0.00784,4.96766e-05,4.96766e-05,4.96766e-05
100,1620.89,0.39972,0.20264,0.00414,0.87953,0.98171,0.90925,0.7846,0.55284,0.39322,0.00772,3.31733e-05,3.31733e-05,3.31733e-05
